Tool,Dataset,CellType,GT_count,Pred_count,F1,Precision,Recall
CellTypist,GSE149614,T/NK,25591,26422,0.928,0.9134,0.943
CellTypist,GSE149614,Myeloid,15947,16016,0.9706,0.9685,0.9727
CellTypist,GSE149614,Hepatocyte,20782,19655,0.9096,0.9356,0.8849
CellTypist,GSE149614,B,3685,3701,0.886,0.8841,0.8879
CellTypist,GSE149614,Endothelial,3644,3960,0.9411,0.9035,0.9819
CellTypist,GSE149614,Fibroblast,2266,2161,0.9492,0.9722,0.9272
CellAssign,GSE149614,T/NK,25591,1427,0.1038,0.9825,0.0548
CellAssign,GSE149614,Myeloid,15947,219,0.0208,0.7671,0.0105
CellAssign,GSE149614,Hepatocyte,20782,15,0.0007,0.4667,0.0003
CellAssign,GSE149614,B,3685,1306,0.4268,0.8155,0.289
CellAssign,GSE149614,Endothelial,3644,14949,0.3867,0.2405,0.9866
CellAssign,GSE149614,Fibroblast,2266,53999,0.0238,0.0124,0.2952
CellTypist,GSE125449,T cell,2835,2851,0.9817,0.979,0.9845
CellTypist,GSE125449,CAF,981,982,0.9944,0.9939,0.9949
CellTypist,GSE125449,Malignant cell,1992,526,0.3423,0.8194,0.2164
CellTypist,GSE125449,TAM,752,679,0.9434,0.9941,0.8976
CellTypist,GSE125449,B cell,993,1109,0.9429,0.8936,0.998
CellTypist,GSE125449,TEC,1097,1116,0.986,0.9776,0.9945
CellTypist,GSE125449,HPC-like,1102,2489,0.5308,0.3829,0.8648
CellAssign,GSE125449,T cell,2835,2655,0.918,0.9492,0.8889
CellAssign,GSE125449,CAF,981,274,0.4096,0.938,0.262
CellAssign,GSE125449,Malignant cell,1992,272,0.0194,0.0809,0.011
CellAssign,GSE125449,TAM,752,2259,0.1136,0.0757,0.2274
CellAssign,GSE125449,B cell,993,2701,0.4743,0.3243,0.8822
CellAssign,GSE125449,TEC,1097,1182,0.9469,0.9129,0.9836
CellAssign,GSE125449,HPC-like,1102,409,0.1456,0.2689,0.0998
